2026-07-31 20:41:11,234 | INFO | app.middleware.logging | DELETE /api/applications/999 -> 404 (7.41 ms)
2026-07-31 20:41:11,236 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 20:41:11,270 | INFO | app.middleware.logging | POST /api/auth/register -> 200 (18.29 ms)
2026-07-31 20:41:11,272 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/register "HTTP/1.1 200 OK"
2026-07-31 20:41:11,297 | INFO | app.middleware.logging | POST /api/auth/login -> 200 (10.69 ms)
2026-07-31 20:41:11,299 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-07-31 20:41:11,319 | INFO | app.middleware.logging | POST /api/auth/login -> 401 (6.03 ms)
2026-07-31 20:41:11,321 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 401 Unauthorized"
2026-07-31 20:41:11,343 | INFO | app.middleware.logging | POST /api/cover-letter -> 200 (6.40 ms)
2026-07-31 20:41:11,345 | INFO | httpx | HTTP Request: POST http://testserver/api/cover-letter "HTTP/1.1 200 OK"
2026-07-31 20:41:11,369 | INFO | app.middleware.logging | POST /api/jobs -> 200 (12.08 ms)
2026-07-31 20:41:11,370 | INFO | httpx | HTTP Request: POST http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-31 20:41:11,391 | INFO | app.middleware.logging | GET /api/jobs -> 200 (9.21 ms)
2026-07-31 20:41:11,392 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-31 20:41:11,413 | INFO | app.middleware.logging | GET /api/jobs/1 -> 200 (7.64 ms)
2026-07-31 20:41:11,415 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:41:11,438 | INFO | app.middleware.logging | PUT /api/jobs/1 -> 200 (9.80 ms)
2026-07-31 20:41:11,440 | INFO | httpx | HTTP Request: PUT http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:41:11,463 | INFO | app.middleware.logging | DELETE /api/jobs/1 -> 200 (6.93 ms)
2026-07-31 20:41:11,466 | INFO | httpx | HTTP Request: DELETE http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:41:11,493 | INFO | app.middleware.logging | POST /api/resumes/upload -> 200 (12.81 ms)
2026-07-31 20:41:11,495 | INFO | httpx | HTTP Request: POST http://testserver/api/resumes/upload "HTTP/1.1 200 OK"
2026-07-31 20:41:11,520 | INFO | app.middleware.logging | GET /api/resumes -> 200 (7.43 ms)
2026-07-31 20:41:11,522 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes "HTTP/1.1 200 OK"
2026-07-31 20:41:11,547 | INFO | app.middleware.logging | GET /api/resumes/latest -> 200 (9.76 ms)
2026-07-31 20:41:11,549 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes/latest "HTTP/1.1 200 OK"
2026-07-31 20:41:13,839 | INFO | app.services.resume_service | Resume uploaded successfully.
2026-07-31 20:41:13,905 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-31 20:55:35,206 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-31 20:55:35,209 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-31 20:55:35,210 | INFO | apscheduler.scheduler | Scheduler started
2026-07-31 20:55:35,333 | INFO | app.middleware.logging | POST /api/applications -> 200 (106.70 ms)
2026-07-31 20:55:35,335 | INFO | httpx | HTTP Request: POST http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 20:55:35,363 | INFO | app.middleware.logging | GET /api/applications -> 200 (8.22 ms)
2026-07-31 20:55:35,365 | INFO | httpx | HTTP Request: GET http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 20:55:35,391 | INFO | app.middleware.logging | PUT /api/applications/1 -> 200 (9.33 ms)
2026-07-31 20:55:35,393 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-31 20:55:35,415 | INFO | app.middleware.logging | PUT /api/applications/999 -> 404 (6.86 ms)
2026-07-31 20:55:35,417 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 20:55:35,439 | INFO | app.middleware.logging | DELETE /api/applications/1 -> 200 (6.37 ms)
2026-07-31 20:55:35,441 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/1 "HTTP/1.1 200 OK"
